Brand,Function,Category,Name,link
Laneige,hydrating,facial mask (cream),Laneige Water Sleeping Mask,https://www.skincarisma.com/products/laneige/water-sleeping-mask/ingredient_list#info-section
Shiseido,anti-aging,facial mask (mask),Shiseido Benefiance Pure Retinol Intensive Revitalizing Face Mask,https://www.skincarisma.com/products/shiseido/benefiance-pure-retinol-intensive-revitalizing-face-mask/ingredient_list#info-section
Tatcha,hydrating,facial mask (mask),Tatcha Luminous Deep Hydration Lifting Mask,https://www.skincarisma.com/products/tatcha/luminous-deep-hydration-lifting-mask/ingredient_list#info-section
Estee Lauder,anti-aging,facial mask (mask),Estee Lauder Advanced Night Repair Concentrated Recovery PowerFoil Mask,https://www.skincarisma.com/products/estee-lauder/advanced-night-repair-concentrated-recovery-powerfoil-mask/ingredient_list#info-section
La Mer,anti-aging,facial mask (cream),La Mer The Lifting and Firming Mask,https://www.skincarisma.com/products/la-mer/the-lifting-and-firming-mask/ingredient_list#info-section
La Mer,hydrating,facial mask (mask),La Mer The Hydrating Facial,https://www.skincarisma.com/products/la-mer/the-hydrating-facial/ingredient_list#info-section
La Mer,hydrating,facial mask (cream),La Mer The Intensive Revitalizing Mask,https://www.skincarisma.com/products/la-mer/the-intensive-revitalizing-mask/ingredient_list#info-section
Drunk Elephant,hydrating,facial mask (cream),Drunk Elephant F-Balm Electrolyte Waterfacial Mask,https://www.skincarisma.com/products/drunk-elephant/f-balm-electrolyte-waterfacial-mask/ingredient_list#info-section
Dior,anti-aging,facial mask (cream),Dior Hydra Life Glow Better Jelly Mask,https://www.skincarisma.com/products/dior/hydra-life-glow-better-fresh-jelly-mask/ingredient_list#info-section
Fresh,anti-aging,facial mask (cream),Fresh Black Tea Instant Perfecting Face Mask,https://www.skincarisma.com/products/fresh/black-tea-instant-perfecting-face-mask/ingredient_list#info-section
Fresh,anti-aging,facial mask (cream),Fresh Black Tea Firming Overnight Mask,https://www.skincarisma.com/products/fresh/black-tea-firming-overnight-mask/ingredient_list#info-section
Fresh,hydrating,facial mask (cream),Fresh Black Tea Instant Hydrating Face Mask,https://www.skincarisma.com/products/fresh/black-tea-instant-hydrating-face-mask/ingredient_list#info-section
Fresh,anti-aging,facial mask (cream),Fresh Lotus Youth Preserve Rescue Mas,https://www.skincarisma.com/products/fresh/lotus-youth-preserve-rescue-mask/ingredient_list#info-section
Fresh,hydrating,facial mask (cream),Fresh Rose Face Mask,https://www.skincarisma.com/products/fresh/rose-face-mask-a5a7d500-4d4b-4fa6-bfb4-8a1d30ab55df/ingredient_list#info-section
Kiehl's,hydrating,facial mask (cream),Kiehl's Ultra Facial Overnight Hydrating Mask,https://www.skincarisma.com/products/kiehl-s/ultra-facial-overnight-hydrating-mask/ingredient_list#info-section
